Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,nir,green,swir16,swir22,NDMI,MNDWI,pet,Month,DayOfYear,Ratio_NIR_Green,Ratio_NIR_SWIR16,Ratio_Green_SWIR22,Diff_SWIR
-28.760833,17.730278,2011-01-02,128.912,555.0,10.0,11190.0,11426.0,7687.5,7645.0,0.1855383392928079,0.1955947367044225,174.2,1,2,0.9793453527043585,1.455609756097561,1.494571615434925,-42.5
-26.861111,28.884722,2011-01-03,74.72,162.9,163.0,17658.5,9550.0,13746.5,10574.0,0.1245661518866418,-0.1801343549460211,124.1,1,3,1.8490575916230367,1.2845815298439602,0.9031586911291848,-3172.5
-26.45,28.085833,2011-01-03,89.254,573.0,80.0,15210.0,10720.0,17974.0,14201.0,-0.0832931533269042,-0.2528054645570494,127.5,1,3,1.4188432835820894,0.8462223211305219,0.7548764171537216,-3773.0
-27.671111,27.236944,2011-01-03,82.0,203.6,101.0,14887.0,10943.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852,129.7,1,3,1.360413049437997,1.100946605531726,0.9596597386652636,-2119.0
-27.356667,27.286389,2011-01-03,56.1,145.1,151.0,16828.5,9502.5,12665.5,9643.0,0.1411473520037969,-0.1426831468783826,129.2,1,3,1.7709550118389898,1.3286881686471121,0.9854298454837707,-3022.5
-27.01011111,26.69808333,2011-01-04,82.2,289.8,192.0,12433.5,10433.5,9579.5,8531.5,0.1296506609730608,0.0426722630290309,98.6,1,4,1.1916902285905977,1.2979278667988934,1.2229385219480748,-1048.0
-25.127778,27.628889,2011-01-04,125.0,438.0,163.0,7814.0,5189.5,6664.0,5222.0,0.0794308606161066,-0.1243936390095741,105.5,1,4,1.5057327295500529,1.1725690276110443,0.9937763309076982,-1442.0
-25.20639,27.558,2011-01-04,116.62,568.0,69.0,14137.5,10466.5,10315.5,8536.0,0.1562998405103662,0.0072659031854489,103.700005,1,4,1.350738069077533,1.3705103969754253,1.226159793814433,-1779.5
-24.69514,27.40906,2011-01-04,181.831,583.0,158.0,15543.0,10647.0,11919.5,9642.5,0.1319435593991802,-0.0563888950435377,111.8,1,4,1.459847844463229,1.3039976509081757,1.1041742286751361,-2277.0
-26.98472222,26.63227778,2011-01-04,196.0,452.0,158.0,13683.0,10207.0,14011.5,11850.5,-0.0118615609597573,-0.1570906538390067,98.200005,1,4,1.340550602527677,0.9765549727009956,0.8613138686131386,-2161.0
